MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     16887.35,     17147.45,     17287.30,     17117.30,     17274.30,488694756544.40,2170626565,Y, ,17344603,     18604.45,     15183.40
Y, , ,NIFTY50 EQL Wgt,     19474.00,     19775.90,     19907.15,     19740.20,     19891.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     20074.50,     20409.55,     20521.15,     20337.90,     20505.05,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     12721.55,     12885.05,     12940.15,     12852.00,     12929.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     28983.70,     29543.25,     29829.00,     29309.45,     29800.65,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     11533.35,     11692.10,     11803.30,     11656.70,     11794.35,0,0,Y, ,0,     12338.50,      9496.60
Y, , ,NIFTY SMLCAP 50,      4231.90,      4307.65,      4321.45,      4285.45,      4316.85,0,0,Y, ,0,      5889.45,      3588.30
Y, , ,NIFTY SMLCAP 250,      9163.95,      9298.30,      9319.60,      9250.50,      9285.30,0,0,Y, ,0,     10524.55,      7598.05
Y, , ,NIFTY MIDSML 400,     10684.90,     10835.15,     10901.05,     10795.45,     10893.60,0,0,Y, ,0,     11554.15,      8815.80
Y, , ,NIFTY200 QUALTY30,     14138.70,     14341.15,     14419.40,     14298.00,     14409.45,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     16769.00,     17039.50,     17242.20,     17008.35,     17223.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     16729.80,     16957.15,     17015.70,     16911.45,     16983.30,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     18842.80,     19138.30,     19262.10,     19051.05,     19243.30,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2798.25,      2841.75,      2863.55,      2837.00,      2861.35,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      3329.05,      3383.75,      3406.75,      3378.40,      3403.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     16502.45,     16699.40,     16775.25,     16649.15,     16755.00,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,      8083.95,      8203.05,      8247.40,      8171.65,      8238.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     26729.10,     27163.35,     27530.80,     27106.50,     27496.95,0,0,Y, ,0,     39446.70,     26186.70
Y, , ,Nifty Next 50,     41412.25,     42209.50,     42423.70,     41902.75,     42381.40,0,0,Y, ,0,     45509.70,     35018.20
Y, , ,Nifty Bank,     38029.65,     38700.40,     39177.50,     38596.90,     39110.05,0,0,Y, ,0,     41840.15,     32155.35
Y, , ,NIFTY MIDCAP 100,     30284.65,     30753.30,     31119.50,     30669.40,     31090.60,0,0,Y, ,0,     33243.50,     25048.15
Y, , ,Nifty 500,     14638.50,     14869.55,     14975.60,     14852.55,     14965.80,0,0,Y, ,0,     16004.45,     12855.55
Y, , ,Nifty 100,     17190.90,     17470.75,     17602.05,     17444.40,     17589.30,0,0,Y, ,0,     18870.70,     15336.05
Y, , ,Nifty Midcap 50,      8225.90,      8363.40,      8494.30,      8353.95,      8481.15,0,0,Y, ,0,      9196.75,      6963.15
Y, , ,Nifty Realty,       418.75,       424.85,       428.95,       423.10,       428.25,0,0,Y, ,0,       560.90,       365.75
Y, , ,Nifty Infra,      4917.90,      4985.55,      5011.75,      4974.40,      5007.70,0,0,Y, ,0,      5362.80,      4405.55
Y, , ,Nifty Energy,     25192.60,     25646.45,     25762.60,     25316.10,     25717.65,0,0,Y, ,0,     29304.05,     21841.95
Y, , ,Nifty FMCG,     43477.30,     44034.05,     44319.05,     43871.30,     44287.05,0,0,Y, ,0,     45237.95,     33407.55
Y, , ,Nifty MNC,     19343.05,     19644.55,     19704.05,     19544.65,     19681.15,0,0,Y, ,0,     20348.85,     16805.30
Y, , ,Nifty Pharma,     13118.95,     13244.50,     13246.05,     13140.90,     13233.45,0,0,Y, ,0,     14802.40,     11726.40
Y, , ,Nifty PSE,      3990.75,      4041.60,      4067.70,      4024.10,      4060.85,0,0,Y, ,0,      4517.15,      3602.20
Y, , ,Nifty PSU Bank,      2914.90,      2982.40,      3006.35,      2969.05,      3001.60,0,0,Y, ,0,      3267.95,      2283.85
Y, , ,Nifty Serv Sector,     23048.00,     23458.60,     23689.05,     23413.10,     23666.00,0,0,Y, ,0,     25822.85,     20292.75
Y, , ,India VIX,21.3650,21.3650,21.3650,19.4475,19.5700,0,0,Y, ,0,33.9725,12.0800
Y, , ,Nifty Auto,     12441.05,     12643.00,     12724.30,     12586.60,     12690.55,0,0,Y, ,0,     13421.60,      9226.95
Y, , ,Nifty Metal,      5593.95,      5731.75,      5778.85,      5662.00,      5769.30,0,0,Y, ,0,      6825.65,      4437.30
Y, , ,Nifty Media,      2039.10,      2072.50,      2104.00,      2046.45,      2095.45,0,0,Y, ,0,      2494.55,      1752.20
Y, , ,NIFTY SMLCAP 100,      9379.15,      9542.75,      9559.40,      9486.05,      9544.45,0,0,Y, ,0,     12047.45,      7904.90
Y, , ,Nifty 200,      9019.50,      9165.40,      9238.60,      9153.20,      9232.55,0,0,Y, ,0,      9895.10,      7978.20
Y, , ,Nifty Div Opps 50,      3529.65,      3580.20,      3615.30,      3574.70,      3611.40,0,0,Y, ,0,      3971.00,      3197.75
Y, , ,Nifty Commodities,      5489.55,      5596.35,      5623.00,      5543.95,      5617.40,0,0,Y, ,0,      6458.45,      4774.15
Y, , ,Nifty Consumption,      7725.95,      7847.80,      7872.95,      7818.15,      7867.80,0,0,Y, ,0,      8146.95,      6177.70
Y, , ,Nifty Fin Service,     17270.20,     17564.10,     17761.30,     17525.65,     17741.05,0,0,Y, ,0,     19778.95,     14857.30
Y, , ,Nifty50 Div Point,       157.73,       157.73,       157.73,       157.73,       157.73,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      4391.45,      4470.20,      4501.90,      4461.00,      4498.35,0,0,Y, ,0,      4790.10,      3812.25
Y, , ,Nifty CPSE,      2583.70,      2617.50,      2638.20,      2602.05,      2632.65,0,0,Y, ,0,      2827.75,      2166.35
Y, , ,Nifty GrowSect 15,      8719.70,      8828.25,      8849.35,      8798.55,      8838.25,0,0,Y, ,0,      8997.20,      6822.30
Y, , ,Nifty50 PR 2x Lev,      7880.80,      8122.30,      8250.20,      8103.10,      8240.70,0,0,Y, ,0,     10268.25,      6508.90
Y, , ,Nifty50 PR 1x Inv,       264.35,       260.30,       260.65,       258.20,       258.35,0,0,Y, ,0,       291.30,       238.00
Y, , ,Nifty50 TR 2x Lev,     10970.90,     11307.10,     11485.15,     11280.35,     11471.95,0,0,Y, ,0,     13910.90,      8986.95
Y, , ,Nifty50 TR 1x Inv,       224.15,       220.75,       221.05,       218.95,       219.05,0,0,Y, ,0,       248.00,       204.60
Y, , ,Nifty50 Value 20,      8449.80,      8571.80,      8667.25,      8557.25,      8657.65,0,0,Y, ,0,      9602.50,      7700.65
Y, , ,Nifty Mid Liq 15,      7270.45,      7397.95,      7525.15,      7379.35,      7511.00,0,0,Y, ,0,      7971.15,      6366.80
Y, , ,Nifty Pvt Bank,     19629.85,     19978.05,     20274.20,     19930.05,     20249.55,0,0,Y, ,0,     21719.30,     16280.15
Y, , ,NIFTY100 Qualty30,      3792.10,      3848.60,      3872.15,      3837.60,      3869.40,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 8 13Yr,      2273.85,      2274.29,      2287.20,      2274.29,      2286.94,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      2012.22,      2012.62,      2026.52,      2012.62,      2026.21,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       856.54,       856.54,       862.50,       856.54,       862.37,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 4 8Yr,      2486.41,      2486.88,      2498.60,      2486.88,      2498.50,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 11 15Yr,      2476.49,      2476.99,      2498.32,      2476.99,      2498.20,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 15YrPlus,      2683.97,      2684.52,      2702.94,      2684.52,      2702.94,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS Compsite,      2349.13,      2349.59,      2365.80,      2349.59,      2365.61,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY HEALTHCARE,      8280.35,      8363.05,      8364.10,      8294.60,      8353.05,0,0,Y, ,0,      9275.15,      6482.80
Y, , ,NIFTY CONSR DURBL,     26840.75,     27258.50,     27259.00,     27022.95,     27061.95,0,0,Y, ,0,     30892.40,     14089.55
Y, , ,NIFTY OIL AND GAS,      7543.15,      7665.65,      7708.65,      7591.55,      7685.20,0,0,Y, ,0,      8524.10,      4632.70
Y, , ,NIFTY500 MULTICAP,      9604.75,      9751.10,      9807.85,      9730.55,      9801.85,0,0,Y, ,0,     10475.45,      5531.55
Y, , ,NIFTY LARGEMID250,      9694.90,      9840.45,      9923.55,      9824.50,      9916.90,0,0,Y, ,0,     10495.35,      5635.20
Y, , ,NIFTY MID SELECT,      7095.70,      7216.30,      7334.00,      7206.05,      7323.35,0,0,Y, ,0,      8124.45,      5520.25
Y, , ,NIFTY TOTAL MKT,      8152.60,      8280.80,      8339.65,      8271.95,      8334.30,0,0,Y, ,0,      8833.95,      6252.10
Y, , ,NIFTY MICROCAP250,     10593.55,     10735.85,     10808.05,     10735.30,     10799.80,0,0,Y, ,0,     11394.55,      5802.95
Y, , ,NIFTY IND DIGITAL,      5253.50,      5335.85,      5378.70,      5329.80,      5373.95,0,0,Y, ,0,      7365.45,      4755.25
 , , , , , , , , , , ,Y, , , , 
 , , , , , , , , , , ,Y, , , , 
 , , ,NIFTY 50 Sec, , , , , , , ,Y, , , , 
N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       784.40,       804.00,       826.30,       790.10,       823.05,               8495549182.85,10445528,Y, ,150364,       987.85,       651.95
N,EQ,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,      4365.20,      4430.00,      4444.55,      4365.20,      4404.40,               1351841983.80,307009,Y, ,25748,      5935.40,      3361.55
N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      3302.90,      3330.00,      3368.35,      3312.05,      3337.75,               3319759538.00,994382,Y, ,79809,      3590.00,      2560.00
N,EQ,AXISBANK,AXIS BANK LIMITED,       722.75,       733.40,       744.50,       732.00,       742.80,               4030218328.55,5438934,Y, ,191004,       866.90,       618.25
N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      3515.35,      3550.50,      3599.90,      3539.20,      3579.60,               1133876479.30,317554,Y, ,21944,      4131.75,      3027.05
N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,      1646.60,      1682.00,      1705.00,      1670.05,      1701.15,               3049602775.90,1806381,Y, ,67335,     19325.00,      1621.00
N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      7171.80,      7335.00,      7505.00,      7306.35,      7488.70,               8837283517.10,1191495,Y, ,119646,      8050.00,      5220.00
N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,       803.35,       813.00,       816.75,       807.50,       808.70,               4680327985.05,5772140,Y, ,133307,       816.75,       628.75
